iter	Passed	Remaining
0	75	758668
1	94	474848
2	113	379373
3	131	329181
4	150	300887
5	168	281047
6	187	267181
7	206	257654
8	225	249846
9	244	243784
10	262	238483
11	280	233836
12	301	231597
13	322	230319
14	341	227237
15	359	224561
16	378	222378
17	396	220094
18	415	218288
19	433	216497
20	452	214987
21	470	213438
22	488	212086
23	507	210914
24	527	210564
25	547	210107
26	567	209517
27	586	208725
28	605	208169
29	624	207436
30	643	206982
31	662	206486
32	682	206127
33	701	205600
34	721	205304
35	740	204885
36	759	204427
37	779	204297
38	799	204121
39	819	203970
40	838	203677
41	858	203442
42	879	203549
43	898	203327
44	918	203271
45	937	202906
46	957	202776
47	978	202772
48	997	202610
49	1018	202651
50	1038	202510
51	1057	202272
52	1076	202047
53	1097	202109
54	1116	201878
55	1135	201576
56	1154	201308
57	1172	200993
58	1191	200725
59	1210	200537
60	1229	200360
61	1249	200240
62	1268	200050
63	1287	199855
64	1306	199708
65	1326	199721
66	1346	199586
67	1365	199424
68	1384	199260
69	1403	199140
70	1422	198987
71	1442	198895
72	1461	198740
73	1480	198624
74	1499	198455
75	1519	198370
76	1538	198281
77	1558	198212
78	1577	198156
79	1597	198034
80	1616	197945
81	1635	197784
82	1654	197682
83	1673	197570
84	1692	197441
85	1711	197338
86	1731	197254
87	1750	197172
88	1770	197120
89	1792	197404
90	1812	197319
91	1831	197234
92	1851	197229
93	1870	197070
94	1889	196983
95	1908	196842
96	1927	196814
97	1946	196710
98	1965	196618
99	1984	196487
100	2015	197563
101	2035	197542
102	2054	197393
103	2073	197285
104	2092	197168
105	2110	197019
106	2129	196914
107	2148	196776
108	2167	196658
109	2185	196516
110	2204	196369
111	2224	196402
112	2243	196257
113	2262	196196
114	2281	196077
115	2299	195914
116	2318	195811
117	2337	195784
118	2356	195673
119	2375	195591
120	2394	195520
121	2413	195425
122	2432	195299
123	2450	195195
124	2469	195077
125	2488	194982
126	2507	194914
127	2526	194819
128	2545	194751
129	2564	194666
130	2582	194586
131	2601	194498
132	2620	194401
133	2638	194300
134	2657	194183
135	2676	194093
136	2694	194013
137	2713	193949
138	2734	193957
139	2753	193891
140	2771	193806
141	2791	193819
142	2811	193788
143	2830	193731
144	2849	193646
145	2867	193549
146	2886	193497
147	2905	193436
148	2925	193391
149	2944	193332
150	2963	193295
151	2982	193240
152	3002	193227
153	3020	193136
154	3039	193079
155	3058	193008
156	3077	192949
157	3096	192888
158	3116	192864
159	3134	192788
160	3153	192740
161	3172	192678
162	3191	192603
163	3210	192540
164	3228	192441
165	3247	192389
166	3266	192360
167	3286	192323
168	3305	192271
169	3324	192219
170	3344	192225
171	3363	192206
172	3383	192195
173	3402	192161
174	3421	192069
175	3440	192021
176	3458	191939
177	3477	191893
178	3496	191820
179	3515	191814
180	3534	191765
181	3553	191713
182	3572	191641
183	3591	191577
184	3610	191549
185	3629	191522
186	3649	191501
187	3668	191442
188	3687	191415
189	3706	191347
190	3727	191415
191	3745	191356
192	3764	191308
193	3784	191284
194	3803	191252
195	3822	191212
196	3841	191151
197	3859	191073
198	3879	191055
199	3898	191027
200	3927	191470
201	3946	191435
202	3965	191396
203	3985	191380
204	4004	191350
205	4023	191308
206	4043	191314
207	4062	191266
208	4081	191205
209	4099	191131
210	4119	191123
211	4138	191086
212	4157	191049
213	4176	191006
214	4195	190957
215	4214	190905
216	4233	190860
217	4252	190834
218	4272	190808
219	4290	190749
220	4310	190741
221	4329	190685
222	4348	190672
223	4367	190611
224	4386	190579
225	4405	190515
226	4424	190483
227	4443	190464
228	4463	190444
229	4482	190411
230	4501	190357
231	4520	190329
232	4540	190349
233	4559	190298
234	4578	190270
235	4598	190240
236	4617	190208
237	4635	190152
238	4654	190103
239	4675	190126
240	4694	190103
241	4714	190091
242	4733	190043
243	4752	190014
244	4771	190002
245	4790	189962
246	4811	189967
247	4829	189927
248	4849	189892
249	4867	189836
250	4886	189784
251	4905	189749
252	4923	189694
253	4943	189697
254	4963	189669
255	4982	189641
256	5001	189598
257	5019	189546
258	5039	189522
259	5057	189455
260	5076	189423
261	5095	189406
262	5114	189358
263	5133	189318
264	5152	189267
265	5170	189221
266	5189	189177
267	5208	189148
268	5228	189123
269	5247	189106
270	5267	189099
271	5286	189086
272	5306	189085
273	5325	189051
274	5345	189039
275	5365	189019
276	5384	189002
277	5403	188957
278	5421	188908
279	5440	188870
280	5460	188850
281	5480	188855
282	5498	188809
283	5518	188790
284	5538	188778
285	5557	188761
286	5576	188735
287	5596	188719
288	5615	188678
289	5634	188646
290	5653	188634
291	5672	188605
292	5691	188560
293	5710	188538
294	5730	188517
295	5749	188485
296	5768	188473
297	5787	188425
298	5807	188410
299	5826	188395
300	5856	188720
301	5876	188698
302	5895	188664
303	5915	188687
304	5935	188671
305	5954	188645
306	5975	188675
307	5995	188651
308	6014	188622
309	6034	188620
310	6052	188575
311	6071	188535
312	6090	188491
313	6110	188500
314	6130	188484
315	6149	188447
316	6168	188410
